草创未就　就极刑而无愠色
吾尝终日而思矣，不如须臾之所学也    
君子生非异也，善假于物也    
（故）不积跬步，无以至千里  
蟹六跪而二螯，非蛇鳝之穴无可寄托者，用心躁也    
学不可以已    
取之于蓝，而青于蓝    
知明而行无过，博学而日参省乎己 
故不积跬步，无以至千里    
吾尝终日而思矣，不如须臾之所学也    
锲而不舍，金石可镂    
学不可以已  
青，取之于蓝，而青于蓝    
君子博学而日参省乎己，则知明而行无过矣    
锲而舍之，朽木不折，锲而不舍，金石可镂    
故不积跬步 ，无以至千里    
是故弟子不必不如师，师不必贤于弟子    
故木受绳则直，金就砺则利 
道之所存    师之所存也    
闻道有先后    术业有专攻    
余嘉其能行古道    作《师说》以贻之    
弟子不必不如师    师不必贤于弟子  
位卑则足羞    官盛则近谀    
师者    所以传道受业解惑也    
师道之不传也久矣    欲人之无惑也难矣    
人非生而知之者，孰能无惑？惑而不从师，其为惑也，终不解矣    
无贵无贱，无长无少，道之所存，师之所存也  
好古文    六艺经传皆通习之    
闻道有先后    术业有专攻    
小学而大遗    吾未见其明也    
位卑则足羞    官盛则近谀   
犹且从师而问焉    而耻学于师    
余嘉其能行古道    作《师说》以贻之    
师者    所以传道受业解惑也    
惑而不从师    其为惑也    终不解矣 
惑而不从师    其为惑也    终不解矣    
巫医乐师百工之人    不耻相师    
余嘉其能行古道    
位卑则足羞    官盛则近谀 
闻道有先后    术业有专攻    
道之所存    师之所存也    
余嘉其能行古道    作《师说》以贻之
白露横江    水光接天    
舳舻千里    旌旗蔽空    
寄蜉蝣于天地    渺沧海之一粟    
舞幽壑之潜蛟    泣孤舟之嫠妇  
寄蜉蝣于天地，渺沧海之一粟    
纵一苇之所如    凌万顷之茫然    
渺渺兮予怀    望美人兮天一方   
舞幽壑之潜蛟    泣孤舟之嫠妇    
寄蜉蝣于天地    渺沧海之一粟    
哀吾生之须臾    羡长江之无穷    
逝者如斯    而未尝往也    盈虚者如彼    而卒莫消长也
自其变者而观之    则天地曾不能以一瞬    
白露横江    水光接天    
舳舻千里    旌旗蔽空    
寄蜉蝣于天地    渺沧海之一粟  
舞幽壑之潜蛟    泣孤舟之嫠妇    
挟飞仙以遨游    抱明月而长终    
其声呜呜然    如怨如慕    如泣如诉    余音袅袅    不绝如缕    
舳舻千里    旌旗蔽空
寄蜉蝣于天地    渺沧海之一粟    
浩浩乎如冯虚御风    而不知其所止    飘飘乎如遗世独立    羽化而登仙    
清风徐来    水波不兴    
且夫天地之间    物各有主    苟非吾之所有    虽一毫而莫取    
徘徊于斗牛之间    
纵一苇之所如    凌万顷之茫然    
舳舻千里    旌旗蔽空    
舞幽壑之潜蛟    泣孤舟之嫠妇 
寄蜉蝣于天地    渺沧海之一粟    
盖将自其变者而观之    则天地曾不能以一瞬      
苍山负雪,明烛天南    
望晚日照城郭, 汶水徂徕如画,而半山居雾若带然    
大风扬积雪击面    
亭东自足下皆云漫,极天云一线异色,须臾成五采
道皆砌石为磴,其级七千有余    
道中迷雾冰滑,磴几不可登    
汶水徂徕如画,而半山居雾若带然    
极天云一线异色,须臾成五采 
汶水徂徕如画,而半山居雾若带然    
稍见云中白若樗蒱数十立者,山也
自京师乘风雪,历齐河长清    
正赤如丹,下有红光,动摇承之 
匪女之为美，美人之贻。
爱而不见，搔首踟蹰。 
彤管有炜，悦怿女美。
涉江采芙蓉，兰泽多芳草。
还顾望旧乡，长路漫浩浩。      
同心而离居，忧伤以终老。
春花秋月何时了？往事知多少    
小楼昨夜又东风，故国不堪回首月明中   
故国不堪回首月明中，恰似一江春水向东流
雕栏玉砌应犹在，只是朱颜改   
问君能有几多愁？恰似一江春水向东流。
金风玉露一相逢，便胜却人间无数  
纤云弄巧，飞星传恨，银汉迢迢暗度
两情若是久长时，又岂在朝朝暮暮    
忍顾鹊桥归路
汩余若将不及兮   恐年岁之不吾与   惟草木之零落兮  恐美人之迟暮
空里流霜不觉飞       汀上白沙看不见
使天下之人      不敢言而敢怒
终苟免而不怀仁   貌恭而不心服
校尉羽书飞瀚海   单于猎火照狼山
世间行乐亦如此 古来万事东流水 泻水置平地，各自东西南流 黄河之水天上来，奔流到海不复回
敏于事而慎于言   就有道而正焉
弃掷逦迤 奈何取之尽锱铢
映阶碧草自春色 隔叶黄鹂空好音 春风十里，尽荠麦青青 旧苑荒台杨柳新，菱歌清唱不胜春
千里澄江似练    翠峰如簇
道中迷雾冰滑     磴几不可登
登东皋以舒啸  扣舷独啸       啸傲东轩下；弹琴复长啸/天门一长啸
吾尝终日而思矣 不如须臾之所学也
老鱼跳波瘦蛟舞  舞幽壑之潜蛟
青青子衿 悠悠我心   云青青兮欲雨 水澹澹兮生烟  过春风十里 尽荠麦青青 
孙子膑脚      《兵法》修列
沧海月明珠有泪    蓝田日暖玉生烟
水不在深  有龙则灵   积水成渊，蛟龙生焉。    长桥卧波，未云何龙？
吾师道也     夫庸知其年之先后生于吾乎
月明星稀          乌鹊南飞
寄蜉蝣于天地  渺沧海之一粟  曾经沧海难为水，除却巫山不是云  长风破浪会有时，直挂云帆济沧海
至于怨诽之多   则固前知其如此也
舞幽壑之潜蛟  老鱼跳波瘦蛟舞
辞洞庭兮落木 去涔阳兮极浦  无边落木萧萧下，不尽长江滚滚来  落木千山天远大，澄江一道月分明。
中原北望气如山 少时棋柝曾联句
知不可乎骤得  托遗响于悲风
月出于东山之上  徘徊于斗牛之间  不知江月待何人，但见长江送流水    湖月照我影，送我至剡溪。
酾酒临江           横槊赋诗
戎马关山北        凭轩涕泗流
新贴绣罗襦  双双金鹧鸪    落花人独立 微雨燕双飞
见贤思齐焉  见不贤而内自省也
未必人间无好汉   谁与宽些尺度
少无适俗韵      性本爱丘山    早岁那知世事艰，中原北望气如山
出师一表真名世      千载谁堪伯仲间
极天云一线异色     须臾成五采
无边落木萧萧下 不尽长汇滚滚来  不知江月待何人  但见长江送流水 哀吾生之须臾  羡长江之无穷
极天云一线异色       须臾成五采
三顾频烦天下计    两朝开济老臣心
谁家今夜扁舟子  着我扁舟一叶   驾一叶之扁舟/明朝散发弄扁舟
学不可以已   孔子师郯子、苌弘、师襄、老聃
其莳也若子     其置也若弃
心非木石岂无感  吞声踯躅不敢言
有善始者实繁       能克终者盖寡
为天下理财    不为征利
对酒当歌  人生几何   人生亦有命  安能行叹复坐愁   人生代代无穷已  江月年年望相似
鸣琴垂拱   不言而化
小楼一夜听春雨   深巷明朝卖杏花
清风徐来  水波不兴    惟江上之清风  与山间之明月    明月别枝惊鹊  清风半夜鸣蝉
锲而不舍   金石可镂
谢公宿处今尚在    渌水荡漾清猿啼
清角吹寒  都在空城
各抱地势   钩心斗角。 
酒酣胸胆尚开张 会挽雕弓如满月
烽火连三月   家书抵万金  洛阳城里见秋风 欲作家书意万重
可使足民  如其礼乐
吴质不眠倚桂树     露脚斜飞湿寒兔
大漠穷秋塞草腓   孤城落日斗兵稀   大漠孤烟直    长河落日圆
还顾望旧乡    长路漫浩浩
虽曰爱之       其实害之
衣带渐宽终不悔          为伊消得人憔悴
上有六龙回日之高标   下有冲波逆折之回川
乘骐骥以驰骋兮    来吾道夫先路
春江潮水连海平 海上明月共潮生    潮平两岸阔，风正一帆悬    春潮带雨晚来急，野渡无人舟自横
昆山玉碎凤凰叫   芙蓉泣露香兰笑
大底（抵）圣贤发愤之所为作也   盖自怨生也
塞上长城空自许 镜中衰鬓已先斑  不知明镜里，何处得秋霜  高堂明镜悲白发，朝如青丝暮成雪  可怜楼上月徘徊，应照离人妆镜台
不敢言而敢怒    日益骄固
扪参历井仰胁息   以手抚膺坐长叹
涉江采芙蓉    兰泽多芳草     制芰荷以为衣兮 集芙蓉以为裳
潦倒新停浊酒杯   一尊还酹江月
朝菌不知晦朔  蟪蛄不知春秋
纷纷暮雪下辕门  风掣红旗冻不翻
银瓶乍破水浆迸       铁骑突出刀枪鸣
君子博学而日参省乎己      则知明而行无过矣
潦倒新停浊酒杯 浊酒一杯家万里
青青子衿  悠悠我心
君子博学而日参省乎己   则知明而行无过矣
云树绕堤沙 怒涛卷霜雪  云横秦岭家何在 雪拥蓝关马不前  纤云弄巧 飞星传恨  云青青兮欲雨，水澹澹兮生烟
至于怨诽之多  则固前知其如此也
舞幽壑之潜蛟   老鱼跳波瘦蛟舞
无边落木萧萧下   不尽长江滚滚来
怒涛卷霜雪      天堑无涯
善始者实繁  能克终者盖寡
士不可以不弘毅    任重而道远     见贤思齐焉  见不贤而内自省也
复爱六国之人   亦使后人而复哀后人也
满招损     谦得益
昔闻洞庭水   今上岳阳楼
其称文小而其指极大  举类迩而见义远
良将劲弩守要害之处  信臣精卒陈利兵而谁何
驾一叶之扁舟  举匏樽以相属
涉江采芙蓉    兰泽多芳草  昆山玉碎凤凰叫  芙蓉泣露香兰笑
涉江采芙蓉    兰泽多芳草  小楫轻舟，梦入芙蓉浦   制芰荷以为衣兮，集芙蓉以为裳
映阶碧草自春色  隔叶黄鹂空好音
小楼一夜听春雨  深巷明朝卖杏花  借问酒家何处有，牧童遥指杏花村   沾衣欲湿杏花雨，吹面不含杨柳风  
不是花中偏爱菊   此花开尽更无花
杨花落尽子规啼   闻道龙标过五溪
吴质不眠倚桂树  脚斜飞湿寒兔  明月半墙  桂影斑驳  有三秋桂子，十里荷花
接天莲叶无穷碧  映日荷花别样红  有三秋桂子  十里荷花   水面清圆  一一风荷举
国破山河在  城春草木深  无边落木萧萧下  不尽长江滚滚来   六朝旧事随流水  但寒烟衰草凝绿
无边落木萧萧下  落木千山天远大
金戈铁马  气吞万里如虎   虎鼓瑟兮鸾回车  仙之人兮列如麻
且放白鹿青崖间  须行即骑访名山  况吾与子渔樵于江渚之上，侣鱼虾而友麋鹿   呦呦鹿鸣，食野之苹
积水成渊  蛟龙生焉  长桥卧波  未云何龙？   舞幽壑之潜蚊  泣孤舟之嫠妇
上有六龙回日之高标    熊咆龙吟殷岩泉 
其间旦暮闻何物 杜鹃啼血猿哀鸣  风急天高猿啸哀 渚清沙白鸟飞回  黄鹤之飞尚不得过 猿猱欲度愁攀援
老鱼跳波瘦蛟舞  舞幽壑之潜蛟
金戈铁马  气吞万里如虎   老骥伏枥  志在千里
昆山玉碎凤凰叫  芙蓉泣露香兰笑
而庭阶寂寂  小鸟时来啄食  人至不去    蝉噪林逾静  鸟鸣山更幽 
鸟倦飞而知还   羁鸟恋旧林
日月忽其不淹兮  春与秋其代序
清明时节雨纷纷  路上行人欲断魂   素衣莫起风尘叹  犹及清明可到家  自古逢秋悲寂寥  我言秋日胜春朝
迢迢牵牛星  皎皎河汉女   星汉灿烂，若出其里   飞星传恨，银汉迢迢暗度
扪参历井仰胁息  徘徊于斗牛之间
斜阳草树  寻常巷陌
谁家今夜扁舟子  何处相思明月楼   露从今夜白  月是故乡明   举头望明月  低头思故乡
皎皎空中孤月轮  唯见江心秋月白 
此时相望不相闻  愿逐月华流照君
鸿雁长飞光不度  鱼龙潜跃水成文
人生代代无穷已  江月年年只相似   人生如梦  一尊还酹江月
九州生气恃风雷  万马齐喑究可哀   死去元知万事空  但悲不见九州同
吴楚东南坼  乾坤日夜浮  玉鉴琼田三万顷  着我扁舟一叶
丞相祠堂何处寻  锦官城外柏森森  晓看红湿处  花重锦官城
人道是  三国周郎赤壁   七月既望   苏子与客泛舟游于赤壁之下
无边落木萧萧下  不尽长江滚滚来   孤帆远影碧空尽  惟见长江天际流
郁孤台下清江水 中间多少行人泪  问君能有几多愁 恰似一江春水向东流  无边落木萧萧下  不尽长江滚滚来
无边落木萧萧下  不尽长江滚滚来  落木千山天远大，澄江一道月分明。
黄河远上白云间  一片孤城万仞山  白日依山尽  黄河入海流   欲渡黄河冰塞川  将登太行雪满山
沧海月明珠有泪  蓝田日暖玉生烟  寄蜉蝣于天地  渺沧海之一粟
国破山河在  城春草木深  山河破碎风飘絮  身世浮沉雨打萍   波涛如怒  山河表里潼关路
多情应笑我  早生华发
形影相吊  风移影动
低眉信手续续弹  说尽心中无限事  安能摧眉折腰事权贵  使我不得开心颜   才下眉头  却上心头
雁过也  正伤心  才下眉头  却上心头
扣舷而歌之  扣舷独啸
玉户帘中卷不去  捣衣砧上拂还来  长安一片月，万户捣衣声。
人生如梦  一尊还酹江月  闲来垂钓碧溪上，忽复乘舟梦日边  醉里挑灯看剑，梦回吹角连营。
登东皋以长啸  扣舷独啸  弹琴复长啸  何妨吟啸且徐行
郁孤台下清江水  中间多少行人泪  清明时节雨纷纷  路上行人欲断魂
独在异乡为异客  每逢佳节倍思亲  中军置酒饮客归，胡琴琵琶与羌笛。 姑苏城外寒山寺，夜半钟声到客船。
我有嘉宾  鼓瑟吹笙  锦瑟无端五十弦  一弦一柱思华年  虎鼓瑟兮鸾回车  仙之人兮列如麻
王之涣 凉州词  羌笛何须怨杨柳  春风不度玉门关
虽无丝竹管弦之盛  举酒欲饮无管弦
终岁不闻丝竹声  无丝竹之乱耳  虽无丝竹管弦之盛
大珠小珠落玉盘  芙蓉泣露香兰笑
银瓶乍破水浆迸  铁骑突出刀枪鸣  昆山玉碎凤凰叫  芙蓉泣露香兰笑
沧海月明珠有泪  蓝田日暖玉生烟  洛阳亲友如相问，一片冰心在玉壶。  昆山玉碎凤凰叫，芙蓉泣露香兰笑。
明星荧荧  开妆镜也  君不见高堂明镜悲白发  朝如青丝暮成雪  塞上长城空自许  镜中衰鬓已先斑
君不见高堂明镜悲白发  朝如青丝暮成雪  塞上长城空自许  镜中衰鬓已先斑  晓镜但愁云鬓改  夜吟应觉月光寒
铁衣远戌辛勤久  玉著应啼别离后  朔气传金柝  寒光照铁衣
有酒盈樽  引壶觞以自酌
东船西舫悄无言  唯见江心秋月白  玉鉴琼田三万顷  着我扁舟一叶  李白乘舟将欲行  忽闻岸上踏歌声
纵一苇之所如  凌万顷之茫然
谁家今夜扁舟子 何处相思明月楼  驾一叶之扁舟  举匏樽以相属  玉鉴琼田三万顷  着我扁舟一叶
舳舻千里   樯橹灰飞烟灭
亲朋无一字  老病有孤舟
三顾频烦天下计  两朝开济老臣心
春花秋月何时了  往事知多少  明月几时有？把酒问青天
冰泉冷涩弦凝绝  凝绝不通声暂歇
鸡声茅店月  人迹板桥霜  烟笼寒水月笼沙  
主人下马客在船
征帆去棹残阳里  背西风酒旗斜矗  浔阳地僻无音乐，终岁不闻丝竹声。  无丝竹之乱耳，无案牍之劳形。
朝闻道  夕死可矣  君不见高堂明镜悲白发  朝如青丝暮成雪    
映阶碧草自春色  隔叶黄鹂空好音  旧苑荒台杨柳新  菱歌清唱不胜春
忽见陌头杨柳色  悔教夫婿觅封侯  映阶碧草自春色  隔叶黄鹂空好音  旧苑荒台杨柳新  菱歌清唱不胜春  过春风十里  尽荠麦青青
英雄无觅  孙仲谋处  三顾频烦天下计  两朝开济老臣心  遥想公瑾当年  小乔初嫁了
暧暧远人村  依依墟里烟
对酒当歌  人生几何  
千骑拥高牙  参差十万人家  （1）千里澄江似练/千古凭高对此/千里孤坟/惟有泪千行/千古风流人物/千古江山/落木千山天远大  （2）万里归船弄长笛/浊酒一杯家万里/气吞万里如虎
能顺木之天  以致其性焉尔
弘毅；士不可以不弘毅  任重而道远
锲而不舍 金石可镂  吾将上下而求索   千淘万漉虽辛苦
《国风》好色而不淫 《小雅》怨诽而不乱
凌万顷之茫然 玉鉴琼田三万顷
桃之天天 灼灼其华/竹外桃花三两枝 春江水暖鸭先知/西塞山前白鹭飞 桃花流水鳜鱼肥
东船西舫悄无言 唯见江心秋月白
未必人间无好汉 谁与宽些尺度
醉里挑灯看剑 梦回吹角连营/愿将腰下剑 直为斩楼兰/十年磨一剑 霜刃未曾试/停杯投箸不能食 拔剑四顾心茫然
未云何龙 不霁何虹
谢公宿处今尚在 脚著谢公屐 
春花秋月何时了 往事知多少 /明月几时有 把酒问青天
(退而论书策)以舒其愤 思垂空文以自见
怒涛卷霜雪 嬉嬉钓叟莲娃
懒起画蛾眉 弄妆梳洗迟/小轩窗 正梳妆/绿云扰扰 梳晓鬟也/当窗理云鬓 对镜帖花黄
高低冥迷 不知西东
岂有谷城公付授 也不干曾遇骊山母
楼船夜雪瓜洲渡，铁马秋风大散关 金戈铁马，气吞万里如虎 夜阑卧听风吹雨，铁马冰河入梦来 
金风玉露一相逢 便胜却人间无数
载舟覆舟 所宜深慎
扪参历井仰胁息 以手抚膺坐长叹\月出于东山之上 徘徊于斗牛之间\星分翼轸 地接衡庐\人生不相见动如参与商
何方圜之能周兮 夫孰异道而相安
崖限当道者 (道中)迷雾冰滑
但使龙城飞将在 不教胡马度阴山/汉家烟尘在东北 汉将辞家破残贼/醉卧沙场君莫笑 古来征战几人回/黄沙百战穿金甲 不破楼兰终不还
锲而舍之 朽木不折
出师一表真名世 千载谁堪伯仲间
晨兴理荒秽，带月荷锄归  种豆南山下，草盛豆苗稀  锄禾日当午，汗滴禾下土  开荒南野际，守拙归园田  怀良辰以孤往，或植杖而耘籽
吴楚东南坼，乾坤日夜浮
如怨如慕，如泣如诉
映日荷花别样红/小荷才露尖尖角/一一风荷举/莲动下渔舟/莲花过人头 制芰荷以为衣兮/集芙蓉以为裳/清水出芙蓉/予独爱莲之出淤泥而不染
实迷途其未远 觉今是而昨非
有善始者实繁 能克终者盖寡
铁衣远戍辛勤久 素衣莫起风尘叹 
扣舷独啸，不知今夕何夕；
客逾庖而宴，鸡栖于厅；
小楼一夜听春雨 深巷明朝卖杏花  春水碧于天 画船听雨眠  夜阑卧听风吹雨 铁马冰河入梦来  秋阴不散霜飞晚 留得枯荷 (残荷)听雨声  少年听雨歌楼上 红烛昏罗帐  空床卧听南窗雨 谁复挑灯夜补衣
虽万被戮 岂有悔哉
十二门前融冷光 二十三丝动紫皇
宫女如花满春殿，只今惟有鹧鸪飞  新帖绣罗襦，双双金鹧鸪  江晚正愁余，山深闻鹧鸪  苦竹岭头秋月辉，苦竹南枝鹧鸪飞  南国多情多艳词，鹧鸪清怨绕梁飞  落照苍茫秋草明，鹧鸪啼处远人行  何处鹧鸪飞，日斜斑竹阴  鹧鸪声苦晓惊眠，朱槿花娇晚相伴  沙上不闻鸿雁信，竹间时听鹧鸪啼。
则天地曾不能以一瞬 则物与我皆无尽也
此时相望不相闻 愿逐月华流照君
谈笑间 樯橹灰飞烟灭/雕栏玉砌应犹在 只是朱颜改/金戈铁马 气吞万里如虎/主人下马客在船举酒欲饮无管弦/焚百家之言 以愚黔首
白露横江 水澹澹兮生烟
前辟四窗 垣墙周庭
简能而任之 择善而从之
固知一死生为虚诞 齐彭殇为妄作
士不可以不弘毅 任重而道远
空山新雨后；隔叶黄鹂空好音/塞上长城空自许/莫使金樽空对月
爱之太恩 忧之太勤
廉颇老矣 尚能饭否
渺渺兮予怀 望美人兮天一方。
能克终者盖寡 则纵情以傲物
相看白刃血纷纷，死节从来岂顾勋
纵一苇之所如，凌万顷之茫然 (驾一叶之扁舟，举匏樽以相属/玉鉴琼田三万顷，着我扁舟一叶/小楫轻舟，梦入芙蓉浦/舟遥遥以轻飏，风飘飘而吹衣/万里归船弄长笛，此心吾与白鸥盟/两岸猿声啼不住，轻舟已过万重山/春水碧于天，画船听雨眠)
叹门外楼头 悲恨相续
弊在赂秦 为国者无使为积威之所劫哉
风急天高猿啸哀 渚清沙白鸟飞回(其间旦幕阐何物杜鹃啼血猿哀鸣|想见读书头已白隔溪猿哭瘴溪藤)
西当太白有鸟道 可以横绝峨眉巅
外无期功强近之亲 内无应门五尺之僮
中原北望气如山 少时棋柝曾联句
过春风十里 尽荠麦青青
云无心以出岫 鸟倦飞而知还
风急天高猿啸哀 渚清沙白鸟飞回  清晨泛中流 羽族满汀渚  关关雎鸠 在河之洲
授之书而习其句读者 非吾所谓传其道解其惑者也
其称文小而其指极大 举类迩而见义远
海内存知己 天涯若比邻/莫愁前路无知己 天下谁人不识君/呼儿将出换美酒 与尔同销万古愁/花径不曾缘客扫 蓬门今始为君开。
一尊还酹江月 举匏樽以相属
汶水、徂徕如画 而半山居雾若带然
风急天高猿啸哀 渚清沙白鸟飞回/两个黄鹂鸣翠柳 一行白鹭上青天/映阶碧草自春色 隔叶黄鹂空好音
大漠穷秋塞草腓 孤城落日斗兵稀
制芰荷以为衣兮 集芙蓉以为裳
身客死于秦 为天下笑/身死人手 为天下笑者/而身死国灭 为天下笑
木欣欣以向荣 泉涓涓而始流
与嬴而不助五国也 惜其用武而不终也
小楼一夜听春雨 深巷明朝卖杏花(春色满园关不住，一枝红杏出墙来/沾衣欲湿杏花雨，吹面不寒杨柳风/恻恻轻寒翦翦风，小梅飘雪杏花红)
士不可以不弘毅 任重而道远
亲朋无一字 老病有孤舟
老骥伏枥 志在千里 烈士暮年 壮心不已 周公吐哺 天下归心 
羁鸟恋旧林 鸟倦飞而知还
竭诚则胡越为一体 傲物则骨肉为行路
鸿雁长飞光不度 鱼龙潜跃水成文 \熊咆龙吟殷岩泉 栗深林兮惊层巅
至于怨诽之多 则固前知其如此也
肯与邻翁相对饮 隔篱呼取尽余杯
双双金鹧鸪 山深闻鹧鸪
汩余若将不及兮，恐年岁之不吾与。
辟邪说,难壬人。
东临碣石，以观沧海。   斜月沉沉藏海雾，碣石潇湘无限路。   摐金伐鼓下榆关，旌旆逶迤碣石间。
覆压三百余里 隔离天日
此时相望不相闻 愿逐月华流照君
谈笑间 樯橹灰飞烟灭/雕栏玉砌应犹在 只是朱颜改/金戈铁马 气吞万里如虎/主人下马客在船举酒欲饮无管弦/焚百家之言 以愚黔首
能顺木之天 传其事以为官戒也
还顾望旧乡 长路漫浩浩
君不见黄河之水天上来，奔流到海不复回/黄河远上白云间，一片孤城万仞山/白日依山尽，黄河入海流/九曲黄河万里沙，浪淘风簸自天涯。
仁义不施而攻守之势异也 弊在赂秦 (也)
老鱼跳波瘦蛟舞 舞幽壑之潜蛟
扪参历井仰胁息 以手抚膺坐长叹/月出于东山之上 徘徊于斗牛之间
如弃草芥 犹抱薪救火
相顾无言 惟有泪千行
狗吠深巷中 鸡鸣桑树颠/开轩面场圃 把酒话桑麻
呦呦鹿鸣 食野之苹
货恶其弃于地也 力恶其不出于身也
鬓云欲度香腮雪 笑语盈盈暗香去
景翳翳以将入 抚孤松而盘桓
沧海月明珠有泪 蓝田日暖玉生烟
又闻子规啼夜月 愁空山/杨花落尽子规啼 闻道龙标过五溪/松间沙路净无泥 萧萧暮雨子规啼
千岩万转路不定 迷花倚石忽已暝
微风鼓浪(微波入焉)其辞微
君不见黄河之水天上来 奔流到海不复回/滚滚长江东逝水 浪花淘尽英雄
鸟雀呼晴 侵晓窥檐语
恩所加则思无因喜以谬赏 罚所及则思无因怒而滥刑
日月忽其不淹兮 春与秋其代序/汩余若将不及兮 恐年岁之不吾与/年年岁岁花相似 岁岁年年人不同/逝者如斯夫 不舍昼夜
不独亲其亲 不独子其子
自古一贤能制难 谁与宽些尺度
塞上长城空自许 镜中衰鬓已先斑/多情应笑我 早生华发
叹门外楼头，悲恨相续
以吾一日长乎尔，毋吾以也
感时花溅泪，恨别鸟惊心(无可奈何花落去，似曾相识燕归来)
匪女之为美 美人之贻；
道中迷雾冰滑 橙几不可登；
清风徐来 水波不兴(惟江上之清风 与山间之明月/明月别枝惊鹊 清风半夜鸣蝉)
呦呦鹿鸣 食野之苹
必浚其泉源 必积其德义
日月忽其不淹兮 春与秋其代序  少年辛苦终身事，莫向光阴惰寸功  盛年不重来，一日难再晨
短发萧骚襟袖冷 稳泛沧浪空阔
问征夫以前路 恨晨光之熹微
言必信 行必果(物有本末，事有终始/慎终如始，则无败事/有善始者实繁，能克终者盖寡)
彤管有炜 洵美且异
爪其肤以验其生枯 摇其本以观其疏密
吴楚东南坼 乾坤日夜浮(玉鉴琼田三万顷，着我扁舟一叶/气蒸云梦泽，波撼岳阳城/遥望洞庭山水翠，白银盘里一青螺)
金戈铁马 气吞万里如虎
己所不欲 勿施于人
忧劳可以兴国 逸豫可以亡身/生于忧患 死于安乐
不知乘月几人归，落月摇情满江树。
君子喻于义，小人喻于利
会须一饮三百杯 引壶觞以自酌
狗吠深巷中 鸡鸣桑树颠
度义而后动 是而不见可悔故也
万里悲秋常作客 百年多病独登台  窗含西岭千秋雪 门泊东吴万里船  四十年来家国  三千里地山河  三十功名尘与土 八千里路云和月
胡骑凭陵杂风雨 死节从来岂顾勋
使六国各爱其人 则吾恐秦人食之不得下咽也
表里俱澄澈 珊珊可爱
昆山玉碎凤凰叫 蓝田日暖玉生烟
事不目见耳闻 而臆断其有无
月出于东山之上 徘徊于斗牛之间/东船西舫悄无言 唯见江心秋月白/素月分辉 明河共影/但愿人长久 千里共婵娟
举杯断绝歌路难 吞声踯躅不敢言
安能摧眉折腰事权贵 使我不得开心颜
古之人不余欺也 而臆断其有无
戒奢以俭 乐盘游则思三驱以为度
哀吾生之须臾 人生代代无穷已。
小轩窗,正梳妆(倚南窗以寄傲，审容膝之易安|守着窗儿，独自怎生得黑|矮纸斜行闲作草，晴窗细乳戏分茶)
见贤思齐焉 见不贤而内自省也
暮去朝来颜色故惟草木之零落兮
举先王之政 以兴利除弊
故木受绳则直，金就砺则利
雕栏玉砌应犹在，只是朱颜改
示例一：但愿人长久，千里共婵娟 示例二：海上生明月，天涯共此时
蟹六跪而二螯 非蛇鳝之穴无可寄托者
君臣固守以窥周室 执敲扑而鞭笞天下
万里赴戎机 关山度若飞(戎马关山北，凭轩涕洄流/身当恩遇常轻敌，力尽关山未解围)
士不可以不弘毅任重而道远
农人告余以春及 将有事于西畴
汩余若将不及兮 恐年岁之不吾与  日月忽其不淹兮 春与秋其代序
吾小人辍飧馨以劳吏者，且不得暇；
泻水置平地，各自东西南北流；
万里悲秋常作客，百年多病独登台(三顾频烦天下计，两朝开济老臣心/五更鼓角声悲壮，三峡星河影动摇/烽火连三月，家书抵万金/两个黄鹂鸣翠柳，一行白鹭上青天)
惟草木之零落兮 恐美人之迟暮
狗吠深巷中 鸡鸣桑树颠/半壁见海日 空中闻天鸡/风急天高猿啸哀 渚清沙白鸟飞回
桂影斑驳 风移影动 
云树绕堤沙 怒涛卷霜雪 
矮纸斜行闲作草 晴窗细乳戏分茶
过春风十里 尽荠麦青青
暧暧远人村 依依墟里烟
渺渺兮予怀 望美人兮天一方/惟草木之零落兮 恐美人之迟暮
两情若是久长时 又岂在朝朝暮暮
事不目见耳闻 而臆断其有无
迷花倚石忽已暝 枯松倒挂倚绝壁(快阁东西倚晚晴/倚南窗以寄傲/吴质不眠倚桂树/归来倚杖自叹息)
辟邪说 难壬人
五陵年少争缠头 一曲红绡不知数
出师一表真名世 千载谁堪伯仲间/三顾频烦天下计 两朝开济老臣心
弊在赂秦 为国者无使为积威之所劫哉
蛾儿雪柳黄金缕 笑语盈盈暗香去
楼船夜雪瓜洲渡 铁马秋风大散关/枯藤老树昏鸦 小桥流水人家/鸡声茅店月 人迹板桥霜
奋六世之余烈 振长策而御宇内
冰泉冷涩弦凝绝 凝绝不通声暂歇
汶水、徂徕如画 而半山居雾若带然/苍山负雪 明烛天南/造化钟神秀 阴阳割昏晓
扣舷独啸 不知今夕何夕
其称文小而其指极大 举类迩而见义远
白云一片去悠悠 青枫浦上不胜愁(浮云游子意，落日故人情)
吾尝跂而望矣 不如登高之博见也
戎马关山北 凭轩涕泗流
小楼一夜听春雨 深巷明朝卖杏花 晓看红湿处 花重锦官城
嘈吆如钟鼓不绝  徐而察之 
怒涛卷霜雪 天堑无涯 
无边落木萧萧下(落木千山天远大)
故吾不害其长而已 不抑耗其实而已
且放白鹿青崖间 须行即骑访名山
上有六龙回日之高标 下有冲波逆折之回川/熊咆龙吟殷岩泉 栗深林兮惊层巅/鸿雁长飞光不度，鱼龙潜跃水成文/玉壶光转 一夜鱼龙舞/积水成渊 蛟龙生焉/长桥卧波 未云何龙
《国风》好色而不淫 《小雅》怨诽而不乱
